Cluster,Word,Probability
0,well,0.1635076105594635
0,work,0.06704089045524597
0,from,0.06187242642045021
0,week,0.04776909947395325
0,blog,0.03215310350060463
0,live,0.029711173847317696
0,easy,0.023535121232271194
0,fall,0.023436926305294037
0,another,0.02256055735051632
0,seek,0.022343983873724937
1,food,0.14269347488880157
1,weight,0.0679359957575798
1,loss,0.045656461268663406
1,that,0.04543379694223404
1,school,0.04420094937086105
1,tip,0.038723837584257126
1,weight_loss,0.03131364658474922
1,skin,0.02567831613123417
1,hard,0.020534584298729897
1,away,0.01855195313692093
2,better,0.07162102311849594
2,home,0.05966317653656006
2,getting,0.04255227744579315
2,right,0.04023691639304161
2,would,0.03740525618195534
2,part,0.027984600514173508
2,sugar,0.027896109968423843
2,stay,0.02771967276930809
2,abortion,0.024123962968587875
2,business,0.02209099568426609
3,like,0.08712102472782135
3,healthy,0.08114663511514664
3,fitness,0.04323151707649231
3,obesity,0.04103633761405945
3,move,0.03867335245013237
3,device,0.03215595334768295
3,going,0.03125434368848801
3,approves,0.028900783509016037
3,bill,0.027618005871772766
3,online,0.022692622616887093
4,keep,0.07144247740507126
4,group,0.04610949009656906
4,drink,0.04141965135931969
4,depression,0.04059036821126938
4,yoga,0.036813151091337204
4,training,0.025219708681106567
4,summer,0.023457061499357224
4,others,0.02264169603586197
4,double,0.020342493429780006
4,gift,0.018322927877306938
5,recipe,0.08144219219684601
5,baby,0.07736968994140625
5,exchange,0.06492355465888977
5,sign,0.055772796273231506
5,price,0.03419443592429161
5,suggests,0.02607216313481331
5,effect,0.023979924619197845
5,state,0.02292437106370926
5,painkiller,0.0220950897783041
5,side,0.01720007322728634
6,drug,0.2083149254322052
6,fda,0.09362591058015823
6,still,0.03942832350730896
6,rule,0.03438363969326019
6,data,0.028440378606319427
6,insurer,0.025107696652412415
6,safety,0.023045595735311508
6,improve,0.01725843735039234
6,warning,0.016350777819752693
6,antibiotic,0.016282105818390846
7,cancer,0.22940148413181305
7,woman,0.06454133242368698
7,breast,0.05752839893102646
7,breast_cancer,0.03990516439080238
7,without,0.026889517903327942
7,gene,0.024386832490563393
7,screening,0.023492107167840004
7,looking,0.01956414431333542
7,suicide,0.01841467060148716
7,testing,0.015184369869530201
8,health,0.07133984565734863
8,when,0.06305103003978729
8,official,0.05829665809869766
8,mental,0.05079468712210655
8,mental_health,0.03612925484776497
8,push,0.02795732207596302
8,crisis,0.02634292282164097
8,water,0.02576233260333538
8,service,0.02532113529741764
8,concern,0.025098342448472977
9,with,0.08148390054702759
9,kid,0.06724171340465546
9,pharma,0.04968574643135071
9,know,0.04280585050582886
9,many,0.041084595024585724
9,more,0.03870085999369621
9,diet,0.03619728982448578
9,best,0.034806519746780396
9,benefit,0.02892105095088482
9,thing,0.025887813419103622
10,say,0.1696106493473053
10,child,0.06076915189623833
10,study,0.05766458436846733
10,show,0.03963522985577583
10,this,0.03569965064525604
10,boost,0.03209030628204346
10,linked,0.02954784967005253
10,check,0.025892173871397972
10,study_say,0.025190453976392746
10,cause,0.022922929376363754
